page_url,category,subcategory,category_path
https://www.screwfix.com//c/bathrooms-kitchens/shower-seats/cat6720001,Bathrooms kitchens,Shower seats,/c/bathrooms-kitchens/shower-seats/cat6720001
https://www.screwfix.com//c/bathrooms-kitchens/doc-m-packs/cat12440001,Bathrooms kitchens,Doc m packs,/c/bathrooms-kitchens/doc-m-packs/cat12440001
https://www.screwfix.com//c/bathrooms-kitchens/back-rests/cat12440002,Bathrooms kitchens,Back rests,/c/bathrooms-kitchens/back-rests/cat12440002
https://www.screwfix.com//c/bathrooms-kitchens/kitchens/cat820358,Bathrooms kitchens,Kitchens,/c/bathrooms-kitchens/kitchens/cat820358
https://www.screwfix.com//c/bathrooms-kitchens/sinks/cat820366,Bathrooms kitchens,Sinks,/c/bathrooms-kitchens/sinks/cat820366
https://www.screwfix.com//c/bathrooms-kitchens/appliances/cat820362,Bathrooms kitchens,Appliances,/c/bathrooms-kitchens/appliances/cat820362
https://www.screwfix.com//c/bathrooms-kitchens/waste-disposal-units/cat4520004,Bathrooms kitchens,Waste disposal units,/c/bathrooms-kitchens/waste-disposal-units/cat4520004
https://www.screwfix.com//c/bathrooms-kitchens/splashbacks/cat820372,Bathrooms kitchens,Splashbacks,/c/bathrooms-kitchens/splashbacks/cat820372
https://www.screwfix.com//c/bathrooms-kitchens/kitchen-sink-waste-strainers/cat10290003,Bathrooms kitchens,Kitchen sink waste strainers,/c/bathrooms-kitchens/kitchen-sink-waste-strainers/cat10290003
https://www.screwfix.com//c/bathrooms-kitchens/kitchen-storage-bins/cat4990002,Bathrooms kitchens,Kitchen storage bins,/c/bathrooms-kitchens/kitchen-storage-bins/cat4990002
https://www.screwfix.com//c/bathrooms-kitchens/kitchen-accessories/cat820360,Bathrooms kitchens,Kitchen accessories,/c/bathrooms-kitchens/kitchen-accessories/cat820360
https://www.screwfix.com//c/electrical-lighting/kitchen-lighting/cat840840,Electrical lighting,Kitchen lighting,/c/electrical-lighting/kitchen-lighting/cat840840
https://www.screwfix.com//c/outdoor-gardening/garden-power-tools/cat840590,Outdoor gardening,Garden power tools,/c/outdoor-gardening/garden-power-tools/cat840590
https://www.screwfix.com//c/outdoor-gardening/lawn-mowers/cat840622,Outdoor gardening,Lawn mowers,/c/outdoor-gardening/lawn-mowers/cat840622
https://www.screwfix.com//c/outdoor-gardening/garden-maintenance/cat11660001,Outdoor gardening,Garden maintenance,/c/outdoor-gardening/garden-maintenance/cat11660001
https://www.screwfix.com//c/outdoor-gardening/grass-trimmers/cat840602,Outdoor gardening,Grass trimmers,/c/outdoor-gardening/grass-trimmers/cat840602
https://www.screwfix.com//c/outdoor-gardening/garden-multi-tools/cat9710003,Outdoor gardening,Garden multi tools,/c/outdoor-gardening/garden-multi-tools/cat9710003
https://www.screwfix.com//c/outdoor-gardening/chainsaws/cat840736,Outdoor gardening,Chainsaws,/c/outdoor-gardening/chainsaws/cat840736
https://www.screwfix.com//c/outdoor-gardening/hedge-trimmers/cat840612,Outdoor gardening,Hedge trimmers,/c/outdoor-gardening/hedge-trimmers/cat840612
https://www.screwfix.com//c/outdoor-gardening/garden-shredders/cat840618,Outdoor gardening,Garden shredders,/c/outdoor-gardening/garden-shredders/cat840618
https://www.screwfix.com//c/outdoor-gardening/blowers-garden-vacs/cat840596,Outdoor gardening,Blowers garden vacs,/c/outdoor-gardening/blowers-garden-vacs/cat840596
https://www.screwfix.com//c/outdoor-gardening/water-pumps/cat840680,Outdoor gardening,Water pumps,/c/outdoor-gardening/water-pumps/cat840680
https://www.screwfix.com//c/outdoor-gardening/garden-power-spares/cat1660004,Outdoor gardening,Garden power spares,/c/outdoor-gardening/garden-power-spares/cat1660004
https://www.screwfix.com//c/outdoor-gardening/log-splitters/cat840610,Outdoor gardening,Log splitters,/c/outdoor-gardening/log-splitters/cat840610
https://www.screwfix.com//c/outdoor-gardening/outdoor-projects/cat7260004,Outdoor gardening,Outdoor projects,/c/outdoor-gardening/outdoor-projects/cat7260004
https://www.screwfix.com//c/outdoor-gardening/fencing/cat840542,Outdoor gardening,Fencing,/c/outdoor-gardening/fencing/cat840542
https://www.screwfix.com//c/outdoor-gardening/lawn-edging/cat9710002,Outdoor gardening,Lawn edging,/c/outdoor-gardening/lawn-edging/cat9710002
https://www.screwfix.com//c/outdoor-gardening/garden-ponds/cat11780002,Outdoor gardening,Garden ponds,/c/outdoor-gardening/garden-ponds/cat11780002
https://www.screwfix.com//c/outdoor-gardening/garden-storage/cat5440008,Outdoor gardening,Garden storage,/c/outdoor-gardening/garden-storage/cat5440008
https://www.screwfix.com//c/outdoor-gardening/watering/cat12430001,Outdoor gardening,Watering,/c/outdoor-gardening/watering/cat12430001
https://www.screwfix.com//c/outdoor-gardening/garden-hoses/cat840692,Outdoor gardening,Garden hoses,/c/outdoor-gardening/garden-hoses/cat840692
https://www.screwfix.com//c/outdoor-gardening/garden-taps/cat831688,Outdoor gardening,Garden taps,/c/outdoor-gardening/garden-taps/cat831688
https://www.screwfix.com//c/outdoor-gardening/water-butts/cat1660006,Outdoor gardening,Water butts,/c/outdoor-gardening/water-butts/cat1660006
https://www.screwfix.com//c/outdoor-gardening/watering-cans/cat6830006,Outdoor gardening,Watering cans,/c/outdoor-gardening/watering-cans/cat6830006
https://www.screwfix.com//c/outdoor-gardening/garden-sprayers-accessories/cat11820001,Outdoor gardening,Garden sprayers accessories,/c/outdoor-gardening/garden-sprayers-accessories/cat11820001
https://www.screwfix.com//c/outdoor-gardening/maintenance-care/cat840688,Outdoor gardening,Maintenance care,/c/outdoor-gardening/maintenance-care/cat840688
https://www.screwfix.com//c/outdoor-gardening/weed-control/cat840530,Outdoor gardening,Weed control,/c/outdoor-gardening/weed-control/cat840530
https://www.screwfix.com//c/outdoor-gardening/lawn-care/cat3210002,Outdoor gardening,Lawn care,/c/outdoor-gardening/lawn-care/cat3210002
https://www.screwfix.com//c/outdoor-gardening/fertilisers-treatments/cat11780004,Outdoor gardening,Fertilisers treatments,/c/outdoor-gardening/fertilisers-treatments/cat11780004
https://www.screwfix.com//c/outdoor-gardening/garden-bags/cat9970017,Outdoor gardening,Garden bags,/c/outdoor-gardening/garden-bags/cat9970017
https://www.screwfix.com//c/outdoor-gardening/garden-spreaders/cat7490007,Outdoor gardening,Garden spreaders,/c/outdoor-gardening/garden-spreaders/cat7490007
https://www.screwfix.com//c/outdoor-gardening/garden-hand-tools/cat3410006,Outdoor gardening,Garden hand tools,/c/outdoor-gardening/garden-hand-tools/cat3410006
